| RAM[0] | RAM[1] | RAM[2] | RAM[3] |
|  29404 |  21283 |      1 |   8121 |
|  13911 |    201 |     69 |     42 |
|   9141 |   3676 |      2 |   1789 |
|  10209 |   9064 |      1 |   1145 |
|  11886 |   3698 |      3 |    792 |
|  31554 |   4380 |      7 |    894 |
|   2023 |   1391 |      1 |    632 |
|  30132 |  18076 |      1 |  12056 |
|  14736 |   4198 |      3 |   2142 |
|  21086 |   3659 |      5 |   2791 |
|  20405 |   2036 |     10 |     45 |
|  27419 |   3461 |      7 |   3192 |
|  13580 |   8494 |      1 |   5086 |
|    844 |    219 |      3 |    187 |
|  30606 |  27708 |      1 |   2898 |
|   1673 |   1573 |      1 |    100 |
|   9448 |   5239 |      1 |   4209 |
|   3191 |   1475 |      2 |    241 |
|  15869 |  11244 |      1 |   4625 |
|  23391 |   4057 |      5 |   3106 |
|  27234 |  15185 |      1 |  12049 |
|  14511 |   3422 |      4 |    823 |
|  11119 |     26 |    427 |     17 |
|  20711 |  15290 |      1 |   5421 |
|  14097 |   6986 |      2 |    125 |
|  20095 |   9597 |      2 |    901 |
|  23473 |  21365 |      1 |   2108 |
|   9251 |   2548 |      3 |   1607 |
|  14276 |   5182 |      2 |   3912 |
|  11435 |   4175 |      2 |   3085 |
|  30007 |  27189 |      1 |   2818 |
|  20086 |  13875 |      1 |   6211 |
|   7363 |   3634 |      2 |     95 |
|   6695 |   3005 |      2 |    685 |
|  22825 |  15016 |      1 |   7809 |
|   3131 |    703 |      4 |    319 |
|  10784 |   5986 |      1 |   4798 |
|   9950 |   9864 |      1 |     86 |
|  28881 |   2287 |     12 |   1437 |
|   4372 |     77 |     56 |     60 |
|  21399 |   4801 |      4 |   2195 |
|  23738 |  22424 |      1 |   1314 |
|   3012 |   1307 |      2 |    398 |
|  10022 |   9063 |      1 |    959 |
|    441 |    389 |      1 |     52 |
|   4972 |    667 |      7 |    303 |
|  31992 |  13781 |      2 |   4430 |
|   7152 |   6585 |      1 |    567 |
|  24338 |  17261 |      1 |   7077 |
|  13252 |   7614 |      1 |   5638 |
|   9504 |   6948 |      1 |   2556 |
|  21635 |  19268 |      1 |   2367 |
|  27111 |  17984 |      1 |   9127 |
|  16321 |   4927 |      3 |   1540 |
|   1223 |     82 |     14 |     75 |
|  10649 |   8965 |      1 |   1684 |
|   1173 |      7 |    167 |      4 |
|  17266 |  11889 |      1 |   5377 |
|  22453 |    325 |     69 |     28 |
|  22992 |   1906 |     12 |    120 |
|  32132 |  29551 |      1 |   2581 |
|   7469 |   6563 |      1 |    906 |
|  30265 |   1335 |     22 |    895 |
|  30753 |  22640 |      1 |   8113 |
|  30194 |   9725 |      3 |   1019 |
|   3246 |   1721 |      1 |   1525 |
|  23318 |  15763 |      1 |   7555 |
|  12297 |   2007 |      6 |    255 |
|   5665 |   1492 |      3 |   1189 |
|   2888 |   1261 |      2 |    366 |
|  21612 |  11532 |      1 |  10080 |
|   7504 |   1651 |      4 |    900 |
|  13369 |   2358 |      5 |   1579 |
|   9311 |   2033 |      4 |   1179 |
|  23397 |  16356 |      1 |   7041 |
|  12572 |  10536 |      1 |   2036 |
|  31910 |  27551 |      1 |   4359 |
|   9182 |   2790 |      3 |    812 |
|  25187 |  22976 |      1 |   2211 |
|  21066 |    874 |     24 |     90 |
|  29815 |  17608 |      1 |  12207 |
|  25128 |  23198 |      1 |   1930 |
|  10189 |   4896 |      2 |    397 |
|  17823 |  10424 |      1 |   7399 |
|   2176 |    436 |      4 |    432 |
|  23636 |  12825 |      1 |  10811 |
|  30757 |  19072 |      1 |  11685 |
|  31923 |   5674 |      5 |   3553 |
|   4319 |   4256 |      1 |     63 |
|  29739 |  15641 |      1 |  14098 |
|   5303 |   3407 |      1 |   1896 |
|   1245 |   1069 |      1 |    176 |
|   7673 |   6839 |      1 |    834 |
|  23721 |  21661 |      1 |   2060 |
|   1623 |     66 |     24 |     39 |
|  10522 |   6932 |      1 |   3590 |
|  31184 |   3444 |      9 |    188 |
|  21136 |  17295 |      1 |   3841 |
|  13849 |   1355 |     10 |    299 |
|  23682 |  21083 |      1 |   2599 |
|  13538 |   2098 |      6 |    950 |
|  22025 |   8745 |      2 |   4535 |
|  27209 |   7712 |      3 |   4073 |
|   1979 |    256 |      7 |    187 |
|  23684 |  22833 |      1 |    851 |
|  13787 |   9109 |      1 |   4678 |
|   9957 |   6821 |      1 |   3136 |
|  25825 |  25267 |      1 |    558 |
|   6956 |    841 |      8 |    228 |
|   5681 |    921 |      6 |    155 |
|  28337 |  14794 |      1 |  13543 |
|   3016 |   1938 |      1 |   1078 |
|   1024 |    801 |      1 |    223 |
|  18004 |   5326 |      3 |   2026 |
|    329 |    133 |      2 |     63 |
|  15404 |  13552 |      1 |   1852 |
|   6959 |   3444 |      2 |     71 |
|   9963 |   5973 |      1 |   3990 |
|   6797 |   2311 |      2 |   2175 |
|  15831 |   7307 |      2 |   1217 |
|  29868 |   5889 |      5 |    423 |
|  26069 |   1077 |     24 |    221 |
|  31593 |    451 |     70 |     23 |
|   3824 |   3151 |      1 |    673 |
|  24148 |  18030 |      1 |   6118 |
|   3062 |    846 |      3 |    524 |
|   1845 |   1571 |      1 |    274 |
|  31809 |    808 |     39 |    297 |
|  16358 |  15374 |      1 |    984 |
|   5446 |   3820 |      1 |   1626 |
|   5119 |   3331 |      1 |   1788 |
|  14484 |   1889 |      7 |   1261 |
|  26037 |  13770 |      1 |  12267 |
|  15091 |   7284 |      2 |    523 |
|  30907 |  23650 |      1 |   7257 |
|  13283 |   2099 |      6 |    689 |
|   4692 |   2918 |      1 |   1774 |
|   6361 |   6228 |      1 |    133 |
|   8156 |   4977 |      1 |   3179 |
|  23648 |  12500 |      1 |  11148 |
|  12766 |  11487 |      1 |   1279 |
|  19195 |   9385 |      2 |    425 |
|  10228 |   4503 |      2 |   1222 |
|   4852 |   1723 |      2 |   1406 |
|  22709 |   9161 |      2 |   4387 |
|  16997 |   1755 |      9 |   1202 |
|  20182 |  14183 |      1 |   5999 |
|  17448 |   9754 |      1 |   7694 |
|  22441 |  14257 |      1 |   8184 |
|   7642 |   7385 |      1 |    257 |
|  14696 |   1062 |     13 |    890 |
|  14241 |   8890 |      1 |   5351 |
|  19525 |   1866 |     10 |    865 |
|  13328 |   8658 |      1 |   4670 |
|   9922 |   7234 |      1 |   2688 |
|   1247 |    168 |      7 |     71 |
|   8950 |   6828 |      1 |   2122 |
|  20030 |   1890 |     10 |   1130 |
|  16868 |  10436 |      1 |   6432 |
|  21088 |   6581 |      3 |   1345 |
|  23226 |  22700 |      1 |    526 |
|  12255 |    830 |     14 |    635 |
|  26871 |  20555 |      1 |   6316 |
|  23267 |  16475 |      1 |   6792 |
|    301 |    218 |      1 |     83 |
|  28372 |   1923 |     14 |   1450 |
|  12241 |   3317 |      3 |   2290 |
|   5946 |   3674 |      1 |   2272 |
|   3447 |   2078 |      1 |   1369 |
|  27978 |   9847 |      2 |   8284 |
|  10226 |   4054 |      2 |   2118 |
|   5172 |   1035 |      4 |   1032 |
|    588 |    216 |      2 |    156 |
|  23665 |  13731 |      1 |   9934 |
|   4136 |   2509 |      1 |   1627 |
|  24450 |  20912 |      1 |   3538 |
|  16270 |   8206 |      1 |   8064 |
|  11605 |  10817 |      1 |    788 |
|  13609 |   8425 |      1 |   5184 |
|  22698 |   7681 |      2 |   7336 |
|  23938 |   8310 |      2 |   7318 |
|  13991 |   6188 |      2 |   1615 |
|  30596 |  24641 |      1 |   5955 |
|  23663 |  12108 |      1 |  11555 |
|   8611 |   6622 |      1 |   1989 |
|  11442 |   9961 |      1 |   1481 |
|   2052 |    914 |      2 |    224 |
|  31020 |   1843 |     16 |   1532 |
|  14315 |   7345 |      1 |   6970 |
|   9382 |   2800 |      3 |    982 |
|   5604 |   1951 |      2 |   1702 |
|   3227 |   2389 |      1 |    838 |
|  28575 |  20867 |      1 |   7708 |
|   2351 |    884 |      2 |    583 |
|    354 |     39 |      9 |      3 |
|   6328 |   5393 |      1 |    935 |
|  16576 |    502 |     33 |     10 |
|  31922 |  20526 |      1 |  11396 |
|  25630 |  15326 |      1 |  10304 |
|  10922 |  10320 |      1 |    602 |
|  27265 |  20963 |      1 |   6302 |
|   7472 |    409 |     18 |    110 |
|  24134 |   4792 |      5 |    174 |
|  23117 |  19092 |      1 |   4025 |
|  24112 |  11438 |      2 |   1236 |
|  30311 |   3055 |      9 |   2816 |
|  23582 |  11495 |      2 |    592 |
|  25897 |   2032 |     12 |   1513 |
|  29681 |  18387 |      1 |  11294 |
|  24375 |  19369 |      1 |   5006 |
|   2524 |   1663 |      1 |    861 |
|  19341 |  16261 |      1 |   3080 |
|  19113 |   4099 |      4 |   2717 |
|  10960 |    422 |     25 |    410 |
|  16857 |   9718 |      1 |   7139 |
|  25269 |   2762 |      9 |    411 |
|  22629 |  12055 |      1 |  10574 |
|  26194 |   9994 |      2 |   6206 |
|   1343 |     27 |     49 |     20 |
|  28183 |  10982 |      2 |   6219 |
|  31292 |  11285 |      2 |   8722 |
|   8413 |   7178 |      1 |   1235 |
|  14284 |   1897 |      7 |   1005 |
|   8076 |   5860 |      1 |   2216 |
|  18352 |  15328 |      1 |   3024 |
|  23621 |  12919 |      1 |  10702 |
|  12471 |   4358 |      2 |   3755 |
|  24616 |   9012 |      2 |   6592 |
|   5048 |    538 |      9 |    206 |
|   6756 |   5425 |      1 |   1331 |
|  22130 |  12709 |      1 |   9421 |
|  22957 |  18613 |      1 |   4344 |
|   3855 |    286 |     13 |    137 |
|  27899 |  16637 |      1 |  11262 |
|   8351 |   4040 |      2 |    271 |
|  16481 |    899 |     18 |    299 |
|  16396 |   2172 |      7 |   1192 |
|  27826 |  21294 |      1 |   6532 |
|   4870 |   1977 |      2 |    916 |
|  26327 |  14246 |      1 |  12081 |
|  13831 |   1795 |      7 |   1266 |
|  23338 |   9007 |      2 |   5324 |
|  16336 |  10845 |      1 |   5491 |
|  28001 |   1429 |     19 |    850 |
|  20763 |    464 |     44 |    347 |
|  23279 |   4343 |      5 |   1564 |
|  12762 |   3058 |      4 |    530 |
|  19965 |  19512 |      1 |    453 |
|  29394 |   3892 |      7 |   2150 |
|  27917 |  21799 |      1 |   6118 |
|  19550 |   4042 |      4 |   3382 |
|   3191 |   2691 |      1 |    500 |
|  31176 |  11759 |      2 |   7658 |
|   9098 |   1092 |      8 |    362 |
|  26225 |   5929 |      4 |   2509 |
|  18805 |   2797 |      6 |   2023 |
|  14941 |   2620 |      5 |   1841 |
|  27444 |   9743 |      2 |   7958 |
|  27580 |   5233 |      5 |   1415 |
|   6179 |   3059 |      2 |     61 |
|  11022 |  10234 |      1 |    788 |
|  10199 |   3930 |      2 |   2339 |
|  13073 |    668 |     19 |    381 |
|  23221 |  14929 |      1 |   8292 |
|  22897 |   3952 |      5 |   3137 |
|   7182 |   6222 |      1 |    960 |
|  15892 |   9171 |      1 |   6721 |
|  28817 |  23260 |      1 |   5557 |
|  17323 |   4041 |      4 |   1159 |
|  24420 |  21600 |      1 |   2820 |
|   4354 |   3327 |      1 |   1027 |
|  23042 |  12338 |      1 |  10704 |
|  32057 |  14615 |      2 |   2827 |
|  19299 |  15059 |      1 |   4240 |
|   7309 |   2050 |      3 |   1159 |
|   1475 |   1451 |      1 |     24 |
|  19187 |   7280 |      2 |   4627 |
|  29780 |  28790 |      1 |    990 |
|  24192 |   2959 |      8 |    520 |
|  26353 |  13433 |      1 |  12920 |
|  19686 |  13772 |      1 |   5914 |
|  13508 |  10047 |      1 |   3461 |
|  19285 |   4273 |      4 |   2193 |
|  30093 |  18329 |      1 |  11764 |
|  11048 |  10967 |      1 |     81 |
|   7103 |    425 |     16 |    303 |
|  14886 |   8950 |      1 |   5936 |
|   1118 |    905 |      1 |    213 |
|   9854 |   1818 |      5 |    764 |
|  27823 |  21312 |      1 |   6511 |
|    918 |    885 |      1 |     33 |
|   6808 |   2468 |      2 |   1872 |
|   3893 |    987 |      3 |    932 |
|    159 |     76 |      2 |      7 |
|   4795 |    804 |      5 |    775 |
|  13965 |    452 |     30 |    405 |
|  31633 |  27948 |      1 |   3685 |
|   6123 |   5969 |      1 |    154 |
|  15509 |   7958 |      1 |   7551 |
|   4232 |   4006 |      1 |    226 |
|   4360 |   1963 |      2 |    434 |
|  26652 |  15665 |      1 |  10987 |
|  19129 |  13225 |      1 |   5904 |
|   7143 |   1602 |      4 |    735 |
|   2248 |    662 |      3 |    262 |
|  25986 |   3281 |      7 |   3019 |
|  32313 |  13675 |      2 |   4963 |
|  12154 |   2157 |      5 |   1369 |
|  14856 |   5684 |      2 |   3488 |
|  14398 |   4922 |      2 |   4554 |
|  24004 |  12845 |      1 |  11159 |
|   1933 |    596 |      3 |    145 |
|  20480 |   9014 |      2 |   2452 |
|  12745 |   9983 |      1 |   2762 |
|   9037 |    137 |     65 |    132 |
|   1715 |    188 |      9 |     23 |
|  12490 |   2708 |      4 |   1658 |
|  30174 |  11805 |      2 |   6564 |
|  10438 |    879 |     11 |    769 |
|  16208 |  13892 |      1 |   2316 |
|  32675 |   7045 |      4 |   4495 |
|   8215 |   5587 |      1 |   2628 |
|   9475 |   5428 |      1 |   4047 |
|  32525 |   8709 |      3 |   6398 |
|  28260 |  27763 |      1 |    497 |
|  21091 |   7257 |      2 |   6577 |
|  20277 |  12945 |      1 |   7332 |
|  21146 |  14186 |      1 |   6960 |
|   4021 |   2769 |      1 |   1252 |
|  30781 |  25265 |      1 |   5516 |
|  13083 |   2359 |      5 |   1288 |
|  31000 |  24280 |      1 |   6720 |
|  21592 |   6470 |      3 |   2182 |
|  26309 |   7123 |      3 |   4940 |
|  16954 |   4375 |      3 |   3829 |
|  14560 |   6217 |      2 |   2126 |
|  26488 |  20729 |      1 |   5759 |
|   1319 |    520 |      2 |    279 |
|  11217 |   9863 |      1 |   1354 |
|   9890 |   9472 |      1 |    418 |
|  31585 |  27631 |      1 |   3954 |
|  28884 |   9342 |      3 |    858 |
|  16270 |   5156 |      3 |    802 |
|   9825 |   4119 |      2 |   1587 |
|  32574 |  28235 |      1 |   4339 |
|  20808 |  17174 |      1 |   3634 |
|  11507 |   8010 |      1 |   3497 |
|  25769 |   2237 |     11 |   1162 |
|   6954 |   6762 |      1 |    192 |
|  31863 |  10565 |      3 |    168 |
|  26988 |  13114 |      2 |    760 |
|  26401 |  10258 |      2 |   5885 |
|   1505 |    125 |     12 |      5 |
|  13042 |   4399 |      2 |   4244 |
|   3000 |    589 |      5 |     55 |
|     94 |     93 |      1 |      1 |
|  12618 |   7090 |      1 |   5528 |
|  23859 |  22885 |      1 |    974 |
|   5799 |    181 |     32 |      7 |
|  29734 |  25441 |      1 |   4293 |
|  21558 |   4160 |      5 |    758 |
|  16566 |   8013 |      2 |    540 |
|   8338 |   6177 |      1 |   2161 |
|   2826 |   2680 |      1 |    146 |
|   8402 |     99 |     84 |     86 |
|   4670 |    270 |     17 |     80 |
|  31994 |  21871 |      1 |  10123 |
|  20642 |   2285 |      9 |     77 |
|  13101 |   7958 |      1 |   5143 |
|  27357 |   1966 |     13 |   1799 |
|  14099 |   8184 |      1 |   5915 |
|  14482 |   1375 |     10 |    732 |
|  11972 |  10064 |      1 |   1908 |
|  30550 |   1670 |     18 |    490 |
|  12939 |   3098 |      4 |    547 |
|  15045 |  13727 |      1 |   1318 |
|  26845 |   3520 |      7 |   2205 |
|   5942 |   5062 |      1 |    880 |
|  23672 |   3917 |      6 |    170 |
|  12950 |  12609 |      1 |    341 |
|  16255 |   9721 |      1 |   6534 |
|    753 |     16 |     47 |      1 |
|  21031 |  12800 |      1 |   8231 |
|  23126 |  11379 |      2 |    368 |
|  19186 |  15587 |      1 |   3599 |
|  16608 |  16599 |      1 |      9 |
|  20739 |   7441 |      2 |   5857 |
|   4166 |    554 |      7 |    288 |
|  21231 |    736 |     28 |    623 |
|  24704 |  24442 |      1 |    262 |
|   5586 |   5275 |      1 |    311 |
|  16503 |    945 |     17 |    438 |
|  13014 |  12815 |      1 |    199 |
|  31489 |  23996 |      1 |   7493 |
|  27448 |  13369 |      2 |    710 |
|  25392 |  18632 |      1 |   6760 |
|   5568 |      9 |    618 |      6 |
|  20543 |  19196 |      1 |   1347 |
|  22267 |   5575 |      3 |   5542 |
|  13045 |    132 |     98 |    109 |
|  24045 |   1110 |     21 |    735 |
|  29871 |   7405 |      4 |    251 |
|   7778 |   6719 |      1 |   1059 |
|   6354 |   6145 |      1 |    209 |
|   7371 |   3635 |      2 |    101 |
|  12423 |   9086 |      1 |   3337 |
|  26376 |  20892 |      1 |   5484 |
|  29074 |  23284 |      1 |   5790 |
|    765 |     19 |     40 |      5 |
|   1545 |    646 |      2 |    253 |
|  31427 |  10549 |      2 |  10329 |
|  16873 |   1070 |     15 |    823 |
|   3377 |   1293 |      2 |    791 |
|  27262 |   7767 |      3 |   3961 |
|  15602 |   2136 |      7 |    650 |
|  32656 |    404 |     80 |    336 |
|   2311 |    912 |      2 |    487 |
|  28615 |   6611 |      4 |   2171 |
|  32464 |  17115 |      1 |  15349 |
|  15966 |   7901 |      2 |    164 |
|  11051 |   6667 |      1 |   4384 |
|  19209 |  17762 |      1 |   1447 |
|   4248 |   1212 |      3 |    612 |
|  30542 |  12157 |      2 |   6228 |
|  31692 |  14060 |      2 |   3572 |
|  31315 |   3815 |      8 |    795 |
|   2653 |   1535 |      1 |   1118 |
|  27108 |    831 |     32 |    516 |
|  28982 |   9329 |      3 |    995 |
|  24283 |  23282 |      1 |   1001 |
|  26370 |  11348 |      2 |   3674 |
|  12756 |   4739 |      2 |   3278 |
|  16958 |   3598 |      4 |   2566 |
|   4104 |   3597 |      1 |    507 |
|  20357 |  19266 |      1 |   1091 |
|  11461 |   3603 |      3 |    652 |
|  25731 |  14211 |      1 |  11520 |
|   9794 |    480 |     20 |    194 |
|   2826 |   2043 |      1 |    783 |
|  30168 |  22222 |      1 |   7946 |
|   8791 |   3539 |      2 |   1713 |
|  26172 |  20104 |      1 |   6068 |
|   2195 |    342 |      6 |    143 |
|  26514 |  11530 |      2 |   3454 |
|  27182 |  19712 |      1 |   7470 |
|  15260 |   1631 |      9 |    581 |
|    782 |    672 |      1 |    110 |
|   8835 |   2019 |      4 |    759 |
|  11103 |   7018 |      1 |   4085 |
|  18481 |  15764 |      1 |   2717 |
|  19281 |  13686 |      1 |   5595 |
|  25722 |   7409 |      3 |   3495 |
|  27827 |   8189 |      3 |   3260 |
|   6068 |   2133 |      2 |   1802 |
|    538 |     18 |     29 |     16 |
|  12222 |   1922 |      6 |    690 |
|  24732 |  11471 |      2 |   1790 |
|   1172 |     63 |     18 |     38 |
|  15921 |   6686 |      2 |   2549 |
|  19600 |   3869 |      5 |    255 |
|  21602 |  15057 |      1 |   6545 |
|   2068 |    900 |      2 |    268 |
|  12742 |   5466 |      2 |   1810 |
|  28889 |  12149 |      2 |   4591 |
|   4076 |   1671 |      2 |    734 |
|   6217 |   2119 |      2 |   1979 |
|  13079 |   8719 |      1 |   4360 |
|  24521 |  23650 |      1 |    871 |
|  27561 |   1573 |     17 |    820 |
|  13824 |   9462 |      1 |   4362 |
|  15741 |   6106 |      2 |   3529 |
|   2839 |    347 |      8 |     63 |
|  17975 |  13971 |      1 |   4004 |
|  27150 |   3084 |      8 |   2478 |
|  13495 |   3133 |      4 |    963 |
|  10199 |   7410 |      1 |   2789 |
|  18979 |   2721 |      6 |   2653 |
|  16588 |   2094 |      7 |   1930 |
|   3337 |   2410 |      1 |    927 |
|  29649 |   7718 |      3 |   6495 |
|   3564 |   2838 |      1 |    726 |
|  16041 |   3594 |      4 |   1665 |
|  20646 |   9346 |      2 |   1954 |
|  16623 |   3040 |      5 |   1423 |
|  32653 |  14546 |      2 |   3561 |
|  12275 |  11004 |      1 |   1271 |
|  30355 |  19716 |      1 |  10639 |
|   6982 |   4824 |      1 |   2158 |
|  30720 |  26278 |      1 |   4442 |
|  13443 |   7148 |      1 |   6295 |
|  15476 |  10404 |      1 |   5072 |
|   4199 |   3348 |      1 |    851 |
|  27333 |  25229 |      1 |   2104 |
|  19076 |   2221 |      8 |   1308 |
|  30537 |   2820 |     10 |   2337 |
|    659 |    451 |      1 |    208 |
|   3155 |   2603 |      1 |    552 |
|   5961 |   2120 |      2 |   1721 |
|  17293 |   2414 |      7 |    395 |
|  14262 |   5498 |      2 |   3266 |
|  21997 |  16439 |      1 |   5558 |
|  15375 |   6923 |      2 |   1529 |
|  24392 |    673 |     36 |    164 |
|  30995 |  13409 |      2 |   4177 |
|  11667 |   5610 |      2 |    447 |
|   6766 |   4709 |      1 |   2057 |
|  11385 |   5323 |      2 |    739 |
|   4020 |    261 |     15 |    105 |
|  18499 |   7855 |      2 |   2789 |
|  32551 |  24436 |      1 |   8115 |
|  18935 |   4924 |      3 |   4163 |
|  19038 |   7215 |      2 |   4608 |
|  15371 |    455 |     33 |    356 |
|  31357 |  23829 |      1 |   7528 |
|  21149 |  11596 |      1 |   9553 |
|   4054 |    526 |      7 |    372 |
|  22151 |  11284 |      1 |  10867 |
|  20985 |   7891 |      2 |   5203 |
|    501 |     19 |     26 |      7 |
|  16421 |  12795 |      1 |   3626 |
|  23888 |   5363 |      4 |   2436 |
|   7260 |    197 |     36 |    168 |
|  14884 |   8490 |      1 |   6394 |
|  24728 |  15979 |      1 |   8749 |
|  11620 |   6124 |      1 |   5496 |
|  25235 |    665 |     37 |    630 |
|   8980 |   2651 |      3 |   1027 |
|  19345 |  18889 |      1 |    456 |
|  31429 |   1946 |     16 |    293 |
|   7779 |   4726 |      1 |   3053 |
|  15853 |   3512 |      4 |   1805 |
|  29301 |  27004 |      1 |   2297 |
|   4891 |   2963 |      1 |   1928 |
|  29422 |  21989 |      1 |   7433 |
|   1475 |     58 |     25 |     25 |
|  10297 |   3145 |      3 |    862 |
|  30866 |   3153 |      9 |   2489 |
|   1040 |    605 |      1 |    435 |
|  32612 |  15166 |      2 |   2280 |
|   7064 |    908 |      7 |    708 |
|  23109 |  19961 |      1 |   3148 |
|   2224 |    379 |      5 |    329 |
|   3425 |   2280 |      1 |   1145 |
|   2490 |   1285 |      1 |   1205 |
|  26996 |  26232 |      1 |    764 |
|  24482 |  13501 |      1 |  10981 |
|  20216 |   9951 |      2 |    314 |
|  30526 |  22125 |      1 |   8401 |
|   5871 |    177 |     33 |     30 |
|  10374 |   1953 |      5 |    609 |
|  13037 |  11023 |      1 |   2014 |
|  29379 |  21603 |      1 |   7776 |
|  27366 |  15109 |      1 |  12257 |
|  18113 |  12913 |      1 |   5200 |
|  16499 |  12549 |      1 |   3950 |
|  29668 |  13275 |      2 |   3118 |
